x,y,freshwater_hci,popden2010,maxRDD,meanUSE,maxDOF,minCSI,maxSED
-84.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-84.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-84.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-83.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-83.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-83.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-83.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-82.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-82.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-82.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-81.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-81.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-81.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-81.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-80.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-80.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-80.375,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-80.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-75.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-74.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-69.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.375,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-68.125,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-67.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.375,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-63.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-62.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-62.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.125,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-61.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-61.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-61.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-61.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-54.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-54.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-53.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-50.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-50.625,82.375,1.0,1.0,,,,,
-50.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-50.125,82.375,1.0,,,,,,
-49.875,82.375,,1.0,,,,,
-49.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-49.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-49.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-48.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-48.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-47.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-46.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-46.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-46.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-46.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-45.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-45.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-45.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-45.125,82.375,1.0,1.0,,,,,
-43.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-43.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-43.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-42.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-42.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-42.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-41.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-41.625,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-41.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-41.125,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-40.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-40.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-40.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-40.125,82.375,,,1.0,1.0,1.0,1.0,1.0
-39.875,82.375,,,1.0,1.0,1.0,1.0,1.0
-39.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.375,82.375,1.0,1.0,,,,,
-39.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.625,82.375,1.0,1.0,,,,,
-38.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.375,82.375,1.0,1.0,,,,,
-37.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.625,82.375,1.0,1.0,,,,,
-36.375,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-36.125,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-35.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.875,82.375,1.0,1.0,,,,,
-34.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-30.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.875,82.375,1.0,,1.0,1.0,1.0,1.0,1.0
-29.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-29.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-28.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-27.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-26.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-25.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.875,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.625,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.375,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-24.125,82.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-23.625,82.375,,,1.0,1.0,1.0,1.0,1.0
-23.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-22.375,82.375,,,1.0,1.0,1.0,1.0,1.0
-88.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-88.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-87.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-87.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-86.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-86.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-85.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-85.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-85.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-85.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-84.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-84.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-84.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-84.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-83.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-83.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-83.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-83.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-82.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-82.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-82.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-82.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-81.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-81.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-81.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-81.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-80.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-80.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-80.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-80.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-79.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-79.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-79.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-78.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-77.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-76.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-75.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-74.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-73.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-72.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-71.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-70.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-69.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-68.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-68.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-68.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-67.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-67.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-66.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-65.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-64.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-63.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-62.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-61.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-61.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-58.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-58.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-57.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-57.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-57.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-57.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-56.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-56.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-56.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-56.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-55.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-55.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-55.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-55.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-54.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-54.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-54.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-54.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-53.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-53.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-53.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-52.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-52.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-50.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-49.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-49.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-49.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-49.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-48.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-48.625,82.125,1.0,1.0,,,,,
-48.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-48.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-47.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-45.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-45.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-44.375,82.125,1.0,1.0,,,,,
-44.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-43.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-43.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-43.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-43.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-42.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-42.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-42.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-42.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-41.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-41.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-41.375,82.125,1.0,1.0,,,,,
-41.125,82.125,1.0,1.0,,,,,
-40.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-40.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-40.375,82.125,1.0,1.0,,,,,
-40.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-39.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-39.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-38.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-38.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-37.875,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-37.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-37.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-36.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-36.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-35.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-35.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-34.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-34.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-34.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-33.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-33.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-33.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-33.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-32.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.625,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.375,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-32.125,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.875,82.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-31.625,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-31.375,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-31.125,82.125,1.0,,1.0,1.0,1.0,1.0,1.0
-30.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-30.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-30.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-30.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-28.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-28.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-28.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-28.125,82.125,,,1.0,1.0,1.0,1.0,1.0
-27.875,82.125,,,1.0,1.0,1.0,1.0,1.0
-27.625,82.125,,,1.0,1.0,1.0,1.0,1.0
-27.375,82.125,,,1.0,1.0,1.0,1.0,1.0
-26.625,82.125,,,1.0,1.0,1.0,1.0,1.0
